grid_size,impl,num_threads,iteration,result
32,seq,2,1,0.000634
32,seq,2,2,0.000600
32,seq,2,3,0.000660
32,seq,2,4,0.000642
32,seq,2,5,0.000646
32,seq,2,6,0.000664
32,seq,2,7,0.000692
32,seq,2,8,0.000692
32,seq,2,9,0.000691
32,seq,2,10,0.000745
32,seq,2,11,0.000759
32,seq,2,12,0.000774
32,seq,2,13,0.000818
32,seq,2,14,0.000812
32,seq,2,15,0.000917
32,seq,2,16,0.000902
32,seq,2,17,0.000898
32,seq,2,18,0.000986
32,seq,2,19,0.001004
32,seq,2,20,0.001116
32,seq,2,21,0.001107
32,seq,2,22,0.001298
32,seq,2,23,0.001257
32,seq,2,24,0.001263
32,seq,2,25,0.001434
32,seq,2,26,0.001464
32,seq,2,27,0.001759
32,seq,2,28,0.001821
32,seq,2,29,0.001773
32,seq,2,30,0.001743
32,seq,8,1,0.001780
32,seq,8,2,0.001769
32,seq,8,3,0.001756
32,seq,8,4,0.001749
32,seq,8,5,0.001789
32,seq,8,6,0.001749
32,seq,8,7,0.001749
32,seq,8,8,0.001827
32,seq,8,9,0.001849
32,seq,8,10,0.001772
32,seq,8,11,0.001749
32,seq,8,12,0.001741
32,seq,8,13,0.001838
32,seq,8,14,0.001759
32,seq,8,15,0.001780
32,seq,8,16,0.001740
32,seq,8,17,0.001749
32,seq,8,18,0.001779
32,seq,8,19,0.001767
32,seq,8,20,0.001745
32,seq,8,21,0.001758
32,seq,8,22,0.001728
32,seq,8,23,0.001731
32,seq,8,24,0.001726
32,seq,8,25,0.001730
32,seq,8,26,0.001730
32,seq,8,27,0.001729
32,seq,8,28,0.001731
32,seq,8,29,0.001753
32,seq,8,30,0.001731
32,seq,32,1,0.001731
32,seq,32,2,0.001730
32,seq,32,3,0.001742
32,seq,32,4,0.001729
32,seq,32,5,0.001744
32,seq,32,6,0.001730
32,seq,32,7,0.001731
32,seq,32,8,0.001726
32,seq,32,9,0.001733
32,seq,32,10,0.001725
32,seq,32,11,0.001728
32,seq,32,12,0.001728
32,seq,32,13,0.001730
32,seq,32,14,0.001726
32,seq,32,15,0.001730
32,seq,32,16,0.001767
32,seq,32,17,0.001744
32,seq,32,18,0.001727
32,seq,32,19,0.001731
32,seq,32,20,0.001730
32,seq,32,21,0.001730
32,seq,32,22,0.001729
32,seq,32,23,0.001732
32,seq,32,24,0.001724
32,seq,32,25,0.001739
32,seq,32,26,0.001743
32,seq,32,27,0.001764
32,seq,32,28,0.001725
32,seq,32,29,0.001729
32,seq,32,30,0.001730
32,pth,2,1,0.005556
32,pth,2,2,0.005046
32,pth,2,3,0.005337
32,pth,2,4,0.004942
32,pth,2,5,0.005256
32,pth,2,6,0.005157
32,pth,2,7,0.005076
32,pth,2,8,0.005259
32,pth,2,9,0.005366
32,pth,2,10,0.005225
32,pth,2,11,0.005225
32,pth,2,12,0.004828
32,pth,2,13,0.005321
32,pth,2,14,0.005359
32,pth,2,15,0.005276
32,pth,2,16,0.005195
32,pth,2,17,0.005370
32,pth,2,18,0.005101
32,pth,2,19,0.004843
32,pth,2,20,0.005096
32,pth,2,21,0.005277
32,pth,2,22,0.005016
32,pth,2,23,0.005208
32,pth,2,24,0.005758
32,pth,2,25,0.005153
32,pth,2,26,0.005749
32,pth,2,27,0.005102
32,pth,2,28,0.005274
32,pth,2,29,0.004995
32,pth,2,30,0.004997
32,pth,8,1,0.015590
32,pth,8,2,0.012177
32,pth,8,3,0.011402
32,pth,8,4,0.008391
32,pth,8,5,0.007628
32,pth,8,6,0.006218
32,pth,8,7,0.006270
32,pth,8,8,0.005973
32,pth,8,9,0.005940
32,pth,8,10,0.006048
32,pth,8,11,0.006025
32,pth,8,12,0.006128
32,pth,8,13,0.007782
32,pth,8,14,0.005968
32,pth,8,15,0.006538
32,pth,8,16,0.005967
32,pth,8,17,0.005894
32,pth,8,18,0.006020
32,pth,8,19,0.006326
32,pth,8,20,0.006299
32,pth,8,21,0.006147
32,pth,8,22,0.006138
32,pth,8,23,0.005958
32,pth,8,24,0.006378
32,pth,8,25,0.006016
32,pth,8,26,0.006274
32,pth,8,27,0.006168
32,pth,8,28,0.006044
32,pth,8,29,0.005989
32,pth,8,30,0.006105
32,pth,32,1,0.026604
32,pth,32,2,0.026119
32,pth,32,3,0.025083
32,pth,32,4,0.025323
32,pth,32,5,0.025236
32,pth,32,6,0.025047
32,pth,32,7,0.024740
32,pth,32,8,0.024930
32,pth,32,9,0.025438
32,pth,32,10,0.025864
32,pth,32,11,0.025809
32,pth,32,12,0.025411
32,pth,32,13,0.025854
32,pth,32,14,0.025890
32,pth,32,15,0.025812
32,pth,32,16,0.025479
32,pth,32,17,0.025958
32,pth,32,18,0.025890
32,pth,32,19,0.026724
32,pth,32,20,0.026926
32,pth,32,21,0.026142
32,pth,32,22,0.025395
32,pth,32,23,0.026294
32,pth,32,24,0.025184
32,pth,32,25,0.026560
32,pth,32,26,0.025585
32,pth,32,27,0.026340
32,pth,32,28,0.026179
32,pth,32,29,0.026095
32,pth,32,30,0.025185
32,omp,2,1,0.000445
32,omp,2,2,0.000448
32,omp,2,3,0.000445
32,omp,2,4,0.000448
32,omp,2,5,0.000448
32,omp,2,6,0.000447
32,omp,2,7,0.000443
32,omp,2,8,0.000486
32,omp,2,9,0.000439
32,omp,2,10,0.000448
32,omp,2,11,0.000448
32,omp,2,12,0.000448
32,omp,2,13,0.000452
32,omp,2,14,0.000445
32,omp,2,15,0.000443
32,omp,2,16,0.000440
32,omp,2,17,0.000445
32,omp,2,18,0.000452
32,omp,2,19,0.000474
32,omp,2,20,0.000465
32,omp,2,21,0.000524
32,omp,2,22,0.000441
32,omp,2,23,0.000449
32,omp,2,24,0.000444
32,omp,2,25,0.000441
32,omp,2,26,0.000476
32,omp,2,27,0.000448
32,omp,2,28,0.000444
32,omp,2,29,0.000475
32,omp,2,30,0.000445
32,omp,8,1,0.000336
32,omp,8,2,0.000356
32,omp,8,3,0.000342
32,omp,8,4,0.000340
32,omp,8,5,0.000338
32,omp,8,6,0.000331
32,omp,8,7,0.000341
32,omp,8,8,0.000342
32,omp,8,9,0.000334
32,omp,8,10,0.000342
32,omp,8,11,0.000335
32,omp,8,12,0.000381
32,omp,8,13,0.000332
32,omp,8,14,0.000341
32,omp,8,15,0.000341
32,omp,8,16,0.000342
32,omp,8,17,0.000335
32,omp,8,18,0.000334
32,omp,8,19,0.000345
32,omp,8,20,0.000340
32,omp,8,21,0.000344
32,omp,8,22,0.000345
32,omp,8,23,0.000344
32,omp,8,24,0.000343
32,omp,8,25,0.000350
32,omp,8,26,0.000345
32,omp,8,27,0.000349
32,omp,8,28,0.000357
32,omp,8,29,0.000345
32,omp,8,30,0.000343
32,omp,32,1,0.003580
32,omp,32,2,0.003327
32,omp,32,3,0.003523
32,omp,32,4,0.003334
32,omp,32,5,0.003321
32,omp,32,6,0.003662
32,omp,32,7,0.004161
32,omp,32,8,0.003447
32,omp,32,9,0.003414
32,omp,32,10,0.003551
