grid_size,impl,num_threads,iteration,result
32,seq,2,1,0.003475
32,seq,2,2,0.003497
32,seq,2,3,0.003544
32,seq,2,4,0.003508
32,seq,2,5,0.003522
32,seq,2,6,0.003547
32,seq,2,7,0.003953
32,seq,2,8,0.003574
32,seq,2,9,0.002498
32,seq,2,10,0.000628
32,seq,2,11,0.000689
32,seq,2,12,0.000614
32,seq,2,13,0.000614
32,seq,2,14,0.000645
32,seq,2,15,0.000615
32,seq,2,16,0.000615
32,seq,2,17,0.000620
32,seq,2,18,0.000613
32,seq,2,19,0.000620
32,seq,2,20,0.000615
32,seq,2,21,0.000615
32,seq,2,22,0.000799
32,seq,2,23,0.000629
32,seq,2,24,0.000627
32,seq,2,25,0.000632
32,seq,2,26,0.000628
32,seq,2,27,0.000630
32,seq,2,28,0.000630
32,seq,2,29,0.000678
32,seq,2,30,0.000706
32,seq,8,1,0.000675
32,seq,8,2,0.000732
32,seq,8,3,0.000734
32,seq,8,4,0.000727
32,seq,8,5,0.000798
32,seq,8,6,0.000792
32,seq,8,7,0.000801
32,seq,8,8,0.000872
32,seq,8,9,0.000892
32,seq,8,10,0.000906
32,seq,8,11,0.000964
32,seq,8,12,0.000955
32,seq,8,13,0.001073
32,seq,8,14,0.001071
32,seq,8,15,0.001069
32,seq,8,16,0.001068
32,seq,8,17,0.001063
32,seq,8,18,0.001072
32,seq,8,19,0.001209
32,seq,8,20,0.001202
32,seq,8,21,0.001395
32,seq,8,22,0.001557
32,seq,8,23,0.001633
32,seq,8,24,0.001657
32,seq,8,25,0.001677
32,seq,8,26,0.001629
32,seq,8,27,0.001631
32,seq,8,28,0.001652
32,seq,8,29,0.001628
32,seq,8,30,0.001648
32,seq,32,1,0.001629
32,seq,32,2,0.001636
32,seq,32,3,0.001642
32,seq,32,4,0.001637
32,seq,32,5,0.001658
32,seq,32,6,0.001648
32,seq,32,7,0.001654
32,seq,32,8,0.001641
32,seq,32,9,0.001645
32,seq,32,10,0.001628
